application,version,instrumentor,trial,function,nodes,arcs,maxIterations,initialMaxDepth,maxDepthIncrement,finalMaxDepth,initialTrianglesSize,triangleTime,numProbe,objectiveValue,totalIpTime,totalTriangleTime
replace,1,bb-lemon,1,patsize,6,11,200,1,1,7,3,0,3,0.857142,0,0
replace,1,bb-lemon,1,amatch,26,45,200,1,1,7,43,0,12,36.7307,0,0.012
replace,1,bb-lemon,1,putsub,15,20,200,1,1,7,19,0,6,54.75,0,0
replace,1,bb-lemon,1,subline,22,31,200,1,1,7,35,0.004,9,620.833,0,0.028
replace,1,bb-lemon,1,change,5,6,200,1,1,7,1,0,1,0.666667,0,0
replace,1,bb-lemon,1,main,27,39,200,1,1,7,43,0.004,11,50.4582,0,0.012
replace,1,bb-lemon,1,Caseerror,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,cc-lemon,2,getline,1,0,200,1,1,7,0,0,0,0,0.004,0
replace,1,cc-lemon,2,dodash,31,49,200,1,1,7,2,0,2,2.05,0,0
replace,1,cc-lemon,2,getccl,9,12,200,1,1,7,0,0,0,0,0,0
replace,1,cc-lemon,2,makepat,75,124,200,1,1,7,3,0,1,0.957447,0,0
replace,1,cc-lemon,2,getpat,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,cc-lemon,2,omatch,19,35,200,1,1,7,0,0,0,0,0,0
replace,1,cc-lemon,2,patsize,6,11,200,1,1,7,0,0,0,0,0,0
replace,1,cc-lemon,2,amatch,26,45,200,1,1,7,12,0,3,21.8087,0,0
replace,1,cc-lemon,2,putsub,15,20,200,1,1,7,7,0,3,263.5,0,0
replace,1,cc-lemon,2,subline,22,31,200,1,1,7,6,0,5,2842.42,0,0
replace,1,cc-lemon,2,change,5,6,200,1,1,7,1,0,1,21.25,0,0
replace,1,cc-lemon,2,main,27,39,200,1,1,7,1,0,1,19.9999,0,0
replace,1,cc-lemon,2,Caseerror,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,bb-lemon,2,getline,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,bb-lemon,2,addstr,3,3,200,1,1,7,1,0,1,0.5,0,0
replace,1,bb-lemon,2,esc,6,9,200,1,1,7,4,0,4,1.02632,0,0
replace,1,bb-lemon,2,dodash,31,49,200,1,1,7,51,0.008,19,61.475,0,0.088
replace,1,bb-lemon,2,getccl,9,12,200,1,1,7,7,0.004,4,1.375,0,0.004
replace,1,bb-lemon,2,stclose,22,31,200,1,1,7,36,0.004,8,40.5161,0,0.016
replace,1,bb-lemon,2,in_set_2,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,bb-lemon,2,in_pat_set,3,9,200,1,1,7,1,0,1,0.125,0,0
replace,1,bb-lemon,2,makepat,75,124,200,1,1,7,137,0.096,51,71.1809,0,2.44
replace,1,bb-lemon,2,getpat,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,bb-lemon,2,makesub,16,25,200,1,1,7,15,0,10,49.5625,0,0.004
replace,1,bb-lemon,2,getsub,15,24,200,1,1,7,13,0,10,66.0833,0,0.004
replace,1,bb-lemon,2,locate,5,6,200,1,1,7,1,0,1,0.666667,0,0
replace,1,bb-lemon,2,omatch,19,35,200,1,1,7,11,0,9,0.990396,0,0
replace,1,bb-lemon,2,patsize,6,11,200,1,1,7,3,0,3,0.857142,0,0
replace,1,bb-lemon,2,amatch,26,45,200,1,1,7,43,0,12,36.7307,0,0.012
replace,1,bb-lemon,2,putsub,15,20,200,1,1,7,19,0.004,6,54.75,0,0.004
replace,1,bb-lemon,2,subline,22,31,200,1,1,7,35,0.004,9,620.833,0,0.028
replace,1,bb-lemon,2,change,5,6,200,1,1,7,1,0,1,0.666667,0,0
replace,1,bb-lemon,2,main,27,39,200,1,1,7,43,0.004,11,50.4582,0,0.016
replace,1,bb-lemon,2,Caseerror,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,cc-lemon,3,getline,1,0,200,1,1,7,0,0,0,0,0.004,0
replace,1,cc-lemon,3,dodash,31,49,200,1,1,7,2,0,2,2.05,0,0
replace,1,cc-lemon,3,getccl,9,12,200,1,1,7,0,0,0,0,0,0
replace,1,cc-lemon,3,makepat,75,124,200,1,1,7,3,0,1,0.957447,0,0
replace,1,cc-lemon,3,getpat,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,cc-lemon,3,omatch,19,35,200,1,1,7,0,0,0,0,0,0
replace,1,cc-lemon,3,patsize,6,11,200,1,1,7,0,0,0,0,0,0
replace,1,cc-lemon,3,amatch,26,45,200,1,1,7,12,0.004,3,21.8087,0,0.004
replace,1,cc-lemon,3,putsub,15,20,200,1,1,7,7,0,3,263.5,0,0
replace,1,cc-lemon,3,subline,22,31,200,1,1,7,6,0.004,5,2842.42,0,0.004
replace,1,cc-lemon,3,change,5,6,200,1,1,7,1,0,1,21.25,0,0
replace,1,cc-lemon,3,main,27,39,200,1,1,7,1,0,1,19.9999,0,0
replace,1,cc-lemon,3,Caseerror,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,bb-lemon,3,getline,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,bb-lemon,3,addstr,3,3,200,1,1,7,1,0,1,0.5,0,0
replace,1,bb-lemon,3,esc,6,9,200,1,1,7,4,0.004,4,1.02632,0,0.004
replace,1,bb-lemon,3,dodash,31,49,200,1,1,7,51,0.008,19,61.475,0,0.092
replace,1,bb-lemon,3,getccl,9,12,200,1,1,7,7,0,4,1.375,0.004,0
replace,1,bb-lemon,3,stclose,22,31,200,1,1,7,36,0,8,40.5161,0,0.008
replace,1,bb-lemon,3,in_set_2,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,bb-lemon,3,in_pat_set,3,9,200,1,1,7,1,0,1,0.125,0,0
replace,1,bb-lemon,3,makepat,75,124,200,1,1,7,137,0.092,51,71.1809,0,2.448
replace,1,bb-lemon,3,getpat,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,bb-lemon,3,makesub,16,25,200,1,1,7,15,0.004,10,49.5625,0,0.008
replace,1,bb-lemon,3,getsub,15,24,200,1,1,7,13,0,10,66.0833,0,0.004
replace,1,bb-lemon,3,locate,5,6,200,1,1,7,1,0,1,0.666667,0,0
replace,1,bb-lemon,3,omatch,19,35,200,1,1,7,11,0,9,0.990396,0,0
replace,1,bb-lemon,3,patsize,6,11,200,1,1,7,3,0,3,0.857142,0,0
replace,1,bb-lemon,3,amatch,26,45,200,1,1,7,43,0.004,12,36.7307,0,0.02
replace,1,bb-lemon,3,putsub,15,20,200,1,1,7,19,0,6,54.75,0,0
replace,1,bb-lemon,3,subline,22,31,200,1,1,7,35,0.004,9,620.833,0,0.028
replace,1,bb-lemon,3,change,5,6,200,1,1,7,1,0,1,0.666667,0,0
replace,1,bb-lemon,3,main,27,39,200,1,1,7,43,0.004,11,50.4582,0,0.016
replace,1,bb-lemon,3,Caseerror,1,0,200,1,1,7,0,0,0,0,0,0
print_tokens2,1,cc-lemon,1,main,11,14,200,1,1,7,5,0,2,1.04857e+06,0,0
print_tokens2,1,cc-lemon,1,open_character_stream,5,5,200,1,1,7,1,0,1,0.625,0,0
print_tokens2,1,cc-lemon,1,get_char,1,0,200,1,1,7,0,0,0,0,0,0
print_tokens2,1,cc-lemon,1,unget_char,1,0,200,1,1,7,0,0,0,0,0,0
print_tokens2,1,cc-lemon,1,open_token_stream,5,5,200,1,1,7,1,0,1,0.5,0,0
print_tokens2,1,cc-lemon,1,get_token,43,90,200,1,1,7,31,0.004,10,5.57723,0,0.004
print_tokens2,1,cc-lemon,1,print_token,57,103,200,1,1,7,15,0.004,15,1.77433,0,0.012
print_tokens2,1,bb-lemon,1,main,11,14,200,1,1,7,6,0,3,1.75,0,0
print_tokens2,1,bb-lemon,1,open_character_stream,5,5,200,1,1,7,1,0,1,0.375,0,0
print_tokens2,1,bb-lemon,1,get_char,1,0,200,1,1,7,0,0,0,0,0,0
print_tokens2,1,bb-lemon,1,unget_char,1,0,200,1,1,7,0,0,0,0,0,0
print_tokens2,1,bb-lemon,1,open_token_stream,5,5,200,1,1,7,1,0,1,0.5,0,0
print_tokens2,1,bb-lemon,1,get_token,43,90,200,1,1,7,128,0.012,25,37.8497,0.004,0.088
